# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 8.575000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-1.231499e-06	1.675789e-04	1.345684e-07	-1.164214e-06	1.298783e-06
1             	1.345028e-01	2.528987e-01	4.644611e-02	1.577259e-01	-1.112797e-01
2             	1.277850e-01	2.308421e-01	4.979721e-02	1.526836e-01	-1.028864e-01
3             	4.584798e-02	7.094434e-02	2.295535e-02	5.732565e-02	-3.437031e-02
4             	-2.715380e-02	-7.016560e-02	-2.984777e-03	-2.864619e-02	2.566142e-02
5             	-4.858802e-02	-1.083178e-01	-1.236849e-02	-5.477226e-02	4.240377e-02
6             	-2.730403e-02	-6.010764e-02	-8.536371e-03	-3.157222e-02	2.303585e-02
7             	5.344516e-03	7.207947e-03	1.827828e-03	6.258430e-03	-4.430603e-03
8             	2.410345e-02	4.239510e-02	9.835877e-03	2.902139e-02	-1.918551e-02
9             	2.310362e-02	3.619674e-02	1.189798e-02	2.905261e-02	-1.715462e-02
10            	1.117676e-02	9.653345e-03	8.621581e-03	1.548755e-02	-6.865967e-03
11            	6.269121e-04	-1.141156e-02	3.810175e-03	2.531999e-03	1.278175e-03
12            	-2.664064e-03	-1.584311e-02	9.073205e-04	-2.210404e-03	3.117724e-03
13            	3.489892e-04	-7.718527e-03	1.189886e-03	9.439324e-04	2.459540e-04
14            	5.234368e-03	2.463808e-03	3.470320e-03	6.969528e-03	-3.499208e-03
15            	8.352611e-03	7.201152e-03	5.712886e-03	1.120905e-02	-5.496168e-03
16            	8.458344e-03	5.645401e-03	6.462834e-03	1.168976e-02	-5.226927e-03
17            	6.823333e-03	1.373126e-03	5.914941e-03	9.780803e-03	-3.865862e-03
18            	5.382404e-03	-1.705134e-03	5.196839e-03	7.980824e-03	-2.783985e-03
19            	4.949362e-03	-2.087050e-03	4.884659e-03	7.391691e-03	-2.507032e-03
20            	5.392398e-03	-6.557803e-04	5.077354e-03	7.931075e-03	-2.853721e-03
21            	6.128474e-03	8.874275e-04	5.565265e-03	8.911107e-03	-3.345842e-03
22            	6.639691e-03	1.495151e-03	6.023834e-03	9.651608e-03	-3.627775e-03
23            	6.716925e-03	1.176123e-03	6.240602e-03	9.837227e-03	-3.596624e-03
24            	6.522427e-03	5.334706e-04	6.255710e-03	9.650282e-03	-3.394572e-03
25            	6.315726e-03	1.314741e-04	6.192683e-03	9.412068e-03	-3.219385e-03
26            	6.242344e-03	1.345389e-04	6.151320e-03	9.318004e-03	-3.166684e-03
27            	6.300093e-03	3.671973e-04	6.160805e-03	9.380496e-03	-3.219691e-03
28            	6.415622e-03	5.873522e-04	6.213133e-03	9.522188e-03	-3.309055e-03
29            	6.503706e-03	6.542445e-04	6.268510e-03	9.637961e-03	-3.369451e-03
30            	6.530378e-03	5.896133e-04	6.303226e-03	9.681991e-03	-3.378765e-03
31            	6.534527e-03	4.798371e-04	6.373457e-03	9.721256e-03	-3.347799e-03
32            	6.536255e-03	4.116370e-04	6.459921e-03	9.766215e-03	-3.306294e-03
33            	6.529010e-03	3.980372e-04	6.517651e-03	9.787835e-03	-3.270184e-03
34            	6.555454e-03	4.148489e-04	6.631748e-03	9.871328e-03	-3.239581e-03
35            	6.590155e-03	4.304398e-04	6.759219e-03	9.969765e-03	-3.210546e-03
36            	6.623479e-03	4.289106e-04	6.882883e-03	1.006492e-02	-3.182037e-03
37            	6.638315e-03	4.132481e-04	6.967938e-03	1.012228e-02	-3.154346e-03
38            	6.681296e-03	3.905483e-04	7.103581e-03	1.023309e-02	-3.129506e-03
39            	6.697756e-03	3.746208e-04	7.171926e-03	1.028372e-02	-3.111793e-03
40            	6.706964e-03	3.651895e-04	7.217180e-03	1.031555e-02	-3.098373e-03
41            	6.721106e-03	3.618964e-04	7.269376e-03	1.035579e-02	-3.086417e-03
42            	6.741125e-03	3.620194e-04	7.337160e-03	1.040970e-02	-3.072545e-03
43            	6.758923e-03	3.622601e-04	7.409667e-03	1.046376e-02	-3.054090e-03
44            	6.771787e-03	3.596363e-04	7.487189e-03	1.051538e-02	-3.028192e-03
45            	6.788579e-03	3.538312e-04	7.582610e-03	1.057988e-02	-2.997275e-03
46            	6.818927e-03	3.457749e-04	7.701629e-03	1.066974e-02	-2.968113e-03
47            	6.850356e-03	3.359964e-04	7.815173e-03	1.075794e-02	-2.942770e-03
48            	6.870071e-03	3.257287e-04	7.902236e-03	1.082119e-02	-2.918953e-03
49            	6.870487e-03	3.172055e-04	7.941818e-03	1.084140e-02	-2.899578e-03
50            	6.890318e-03	3.120593e-04	8.015789e-03	1.089821e-02	-2.882423e-03
51            	6.914451e-03	3.112381e-04	8.088095e-03	1.095850e-02	-2.870403e-03
52            	6.927178e-03	3.119412e-04	8.130815e-03	1.099259e-02	-2.861770e-03
53            	6.948988e-03	3.145708e-04	8.194959e-03	1.104647e-02	-2.851508e-03
54            	6.997244e-03	3.189266e-04	8.320398e-03	1.115744e-02	-2.837045e-03
55            	7.011694e-03	3.189713e-04	8.379398e-03	1.120139e-02	-2.821995e-03
56            	7.027274e-03	3.184166e-04	8.444803e-03	1.124968e-02	-2.804872e-03
57            	7.040801e-03	3.162345e-04	8.509168e-03	1.129538e-02	-2.786216e-03
58            	7.067916e-03	3.133193e-04	8.602049e-03	1.136894e-02	-2.766891e-03
59            	7.071839e-03	3.113167e-04	8.610189e-03	1.137693e-02	-2.766745e-03
60            	7.084310e-03	3.110064e-04	8.625193e-03	1.139691e-02	-2.771714e-03
61            	7.087271e-03	3.100225e-04	8.622427e-03	1.139848e-02	-2.776058e-03
62            	7.097419e-03	3.074514e-04	8.646260e-03	1.142055e-02	-2.774289e-03
63            	7.117616e-03	3.026998e-04	8.703009e-03	1.146912e-02	-2.766111e-03
